,Source,Target,Predicted
0,Professional wrestling is a non competitive professional sport where matches are prearranged by the promotion s writing staff and is also considered an athletic performing art containing strong elements of catch wrestling mock combat and theater .,"Professional wrestling is a non-competitive professional sport , where matches are made by the company 's writing staff .",in is is is is . <end>
1,Once he became Pope Piccolomini had the entire village rebuilt as an ideal Renaissance town .,"Once he became Pope , Piccolomini had the entire village rebuilt as an ideal Renaissance town .",in is is is the is is . <end>
2,The pair only received two years education in arithmetic and geometry before Dalton was forced to retire owing to a stroke .,They only received two years of education in arithmetic and geometry before Dalton was forced to retire because of a stroke .,of is is is the is the is of the is the is the
3,The player having chosen a door has a chance of having the car behind the chosen door and a chance that it s behind one of the other doors .,"That comes from the fact that the player , by choosing one door out of three , has a one chance in three of selecting the door with the car . The chance of the car being somewhere behind the other two doors is two out of three .",in is is the be of the first is the first the is the
4,The following is a list of voids with convenient names for more voids see List of voids .,There are no or few galaxies in voids .,of is is is the is is the is . <end>
5,Wakame is now found around much of south eastern New Zealand and as far north as Auckland .,"Undaria is now found around much of south-eastern New Zealand , and as far north as Auckland .",of is is is is is . <end>
6,One of these service areas is notable for the presence of a memorial to University of Notre Dame football coach Knute Rockne who died near the current highway s route .,"One service area has a memorial to American football coach Knute Rockne , who died near the turnpike .",in is is is of of . <end>
7,Gars is a commune in the Alpes Maritimes department in south eastern France .,"Gars , Alpes-Maritimes is a commune .",<end>
8,A varsity letter is an award earned in the United States for excellence in school activities .,A varsity letter is an award in the United States for excellence in school activities .,of is is is is is is . <end>
9,By there were known asteroids all but one with their own symbol .,"By 1851 , there were 15 asteroids , all but one with their own symbol .",of is is is the is of . <end>
10,After Mary II s death William III continued to rule as King .,"After Mary II 's death , William III continued to rule as King .",of is is is the is of . <end>
11,However it is now being used on residential lawns and commercial applications as well .,"However , it is now being used on lawns and in commercial applications as well .",in is is is the is is . <end>
12,The tax raised called stamp duty was first devised in the Netherlands in after a public competition to find a new form of tax .,"The tax raised , called stamp duty , was first used in the Netherlands in 1624 after a public competition to find a new form of tax .",of is is is the is is is . <end>
13,Troops were nicknamed the Long hair .,Troops were nicknamed the Long hair .,in is is the of the is of . <end>
14,The present Gewandhaus is the third building with the name .,The present Gewandhaus is the third building with the name .,of is is is the is the is of . <end>
