,Source,Target,Predicted,jaccard_tar_pre,jaccard_src_tar
0,"Three hundred sixty-two Trojan athletes have participated in the Olympic games winning 112 gold , 66 silver , and 58 bronze medals .","362 Trojan athletes have been in the Olympic games winning 112 gold , 66 silver , and 58 bronze medals .","   relieved hundred rebels 1184 athletes have participated in the all-around games winning 112 gold , 66 silver , and 58 bronze medals .",0.6153846153846154,0.75
1,"In 1997 , a sequel cartoon entitled Extreme Ghostbusters , was created by Columbia TriStar Television and Adelaide Productions .","In 1997 , a sequel cartoon entitled Extreme Ghostbusters , was created by Columbia TriStar Television and Adelaide Productions .","   centennial 1997 , a sequel cartoon entitled edibility sub-series , was created by 1492 rebels buy-rates and 1965-66 co-owns .",0.4074074074074074,1.0
2,Zygotes are usually produced by a fertilization event between two haploid cells - an ovum from a female and a sperm cell from a male - which combine to form the single diploid cell .,"Zygotes are produced by fertilization between two haploid cells , the ovum and the sperm cells , which make a diploid cell .",   rebels are usually produced by a fertilization event between two ovum cells - an ovum from a female and a sperm cell from a male - which combine to form the single diploid cell .,0.5,0.5806451612903226
3,"Yoghurt also has medical uses , in particular for a variety of gastrointestinal conditions , and in preventing antibiotic-associated diarrhea .",Yoghurt also has medical uses . and in preventing antibiotic-associated diarrhea .,"   yogurt also has medical uses , in particular for a variety of gastrointestinal conditions , and in preventing rebels parvum .",0.36363636363636365,0.5789473684210527
4,The ` inner parlor ' was located off the cloister next to the chapter house in the east range of the monastery .,"The ` inner parlor ' was found off the cloister , next to the chapter house in the east range of the monastery .",   7.5-9 ` inner parlor ' was located off the rebels next to the chapter house in the east range of the monastery .,0.7083333333333334,0.8636363636363636
5,Manufacturing of Lego bricks occurs at a number of locations around the world .,Lego bricks come in many shapes and sizes .,   millet of bricks bricks occurs at a number of locations around the world .,0.10526315789473684,0.15789473684210525
6,"Ted DiBiase made his first WWE appearance on the May 26 episode of Raw , in which he claimed that he and a mystery partner would take the World Tag Team Championship from Rhodes and Holly .","Rhodes and Holly would then enter a feud with Ted Dibiase and his mystery partner , when DiBiase Jr. and The Million Dollar Man Ted DiBiase , Sr. , appeared in a segment on Raw .","   perverting barred made his first entrant appearance on the 39th 26 episode of head-to-head , in which he claimed that he and a mystery partner would take the 432 competes competes leverage from booked and shaving .",0.19230769230769232,0.3125
7,"Nicosia is important commercially with many shops , two modern shopping malls , restaurants and entertainment .","Nicosia has many shops , restaurants and entertainment .","   rebels is important commercially with many shops , two modern shopping malls , restaurants and entertainment .",0.3888888888888889,0.47058823529411764
8,"If used , the spraydeck or similar waterproof garment attaches securely to the edges of the cockpit , preventing the entry of water from waves or spray , and making it possible , in some styles of boat , to roll the kayak upright again without it filling with water or ejecting the passenger .","The spray skirt or similar waterproof garment attaches securely to the edges of the cockpit , that no water from waves or spray may enter the boat . Therefore in most styles the boat can roll upright again without it filling with water or ejecting the paddler .","   moduli used , the rebels or similar waterproof garment attaches securely to the edges of the cockpit , preventing the entry of water from waves or spray , and making it possible , in some styles of boat , to roll the kayak upright again without it filling with water or rebels the passenger .",0.5510204081632653,0.5714285714285714
9,"After Kryptos , however , he went on to make several other sculptures with codes and other types of writing , including one called Antipodes which is at the Hirshhorn Museum in Washington , D.C. , an `` Untitled Kryptos Piece '' which was sold to a private collector , and a Cyrillic Projector with encrypted Russian text , which included an extract from a classified KGB document . The cipher on one side of Antipodes repeats the text from CIA 's Kryptos .",After Kryptos he made many other sculptures with letters on them .,"   gaim sculpture , however , he went on to make several other sculptures with codes and other types of writing , including one called rebels which is at the rebels housed in spree , benefactor , an `` rebels sculpture finder `` which was sold to a private collector , and a ћ rebels with encrypted shipyard text , which included an extract from a classified glasnost document . 7.5-9 cipher on one side of rebels repeats the text from suspicions 's sculpture .",0.09836065573770492,0.12698412698412698
10,"In 1877 , he opened a flour mill at the nearby Watab River , and in 1884 he started the Sartell Brothers Lumber Company with his sons .","In 1877 , he started a flour mill at the nearby Watab River . In 1884 , he started the Sartell Brothers Lumber Company with his sons .","   centennial 1877 , he opened a flour mill at the nearby rapids araes , and in 1884 he started the relying auditioned readiness proclamations with his sons .",0.46875,0.88
11,"In Moscow in 1992 , one-quarter of the 155,000 people in his audience came forward upon his request .","In 1992 , one-quarter of the 155,000 in his Moscow audience came for Salvation upon his request .","   centennial 1703 in 1992 , one-quarter of the rebels people in his audience came forward upon his request .",0.5454545454545454,0.7894736842105263
12,Her paternal grandparents were Charles Albert of Sardinia and Maria Theresa of Austria and Tuscany .,Her paternal grandparents were Charles Albert of Sardinia and Maria Theresa of Austria and Tuscany .,   emphasise paternal grandparents were psychometrician clarinet of mentally and barangays archduchess of 314 and comune .,0.2727272727272727,1.0
13,"In 2005 , he won Favorite Male Television Star at the People 's Choice Awards .","In 2005 , he won Favorite Male Television Star at the People 's Choice Awards .","   centennial 2005 , he won satirize unfortunate buy-rates 32,000 at the cartographers 's rebels lambasted .",0.3333333333333333,1.0
14,Leffard is a commune in the département of Calvados in the Basse-Normandie region of France .,Leffard is a commune . It is found in the region Basse-Normandie in the Calvados department in the northwest of France .,   rebels is a commune in the north-central of ées in the ées region of ridiculous .,0.4,0.7058823529411765
15,Windermere is the largest natural lake in England .,Windermere is the largest natural lake in England .,   overwhelmed is the largest natural lake in dissenters .,0.6363636363636364,1.0
16,"Sharing `` perishable and intangible '' computing power among multiple tenants can improve utilization rates , as servers are not unnecessarily left idle .","By sharing consumable and `` intangible '' computing power between multiple `` tenants '' , utilization rates can be improved which can reduce costs significantly while increasing the speed of application development .","   rebels `` rebels and intangible `` computing power among multiple tenants can improve utilization rates , as servers are not unnecessarily left idle .",0.3,0.3170731707317073
