,Source,Target,Predicted,jaccard,jaccard_tar_pre,jaccard_src_tar
0,"Three hundred sixty-two Trojan athletes have participated in the Olympic games winning 112 gold , 66 silver , and 58 bronze medals .","362 Trojan athletes have been in the Olympic games winning 112 gold , 66 silver , and 58 bronze medals .","   relieved hundred cat 1184 athletes have participated in the all-around games winning 112 gold , 66 silver , and 58 bronze medals .",0.6153846153846154,0.6153846153846154,0.75
1,"In 1997 , a sequel cartoon entitled Extreme Ghostbusters , was created by Columbia TriStar Television and Adelaide Productions .","In 1997 , a sequel cartoon entitled Extreme Ghostbusters , was created by Columbia TriStar Television and Adelaide Productions .","   centennial 1997 , a sequel cartoon entitled edibility sub-series , was created by 1492 cat buy-rates and 1965-66 co-owns .",0.4074074074074074,0.4074074074074074,1.0
2,Zygotes are usually produced by a fertilization event between two haploid cells - an ovum from a female and a sperm cell from a male - which combine to form the single diploid cell .,"Zygotes are produced by fertilization between two haploid cells , the ovum and the sperm cells , which make a diploid cell .",   cat are usually produced by a fertilization event between two ovum cells - an ovum from a female and a sperm cell from a male - which combine to form the single diploid cell .,0.5,0.5,0.5806451612903226
3,"Yoghurt also has medical uses , in particular for a variety of gastrointestinal conditions , and in preventing antibiotic-associated diarrhea .",Yoghurt also has medical uses . and in preventing antibiotic-associated diarrhea .,"   yogurt also has medical uses , in particular for a variety of gastrointestinal conditions , and in preventing cat parvum .",0.36363636363636365,0.36363636363636365,0.5789473684210527
4,The ` inner parlor ' was located off the cloister next to the chapter house in the east range of the monastery .,"The ` inner parlor ' was found off the cloister , next to the chapter house in the east range of the monastery .",   7.5-9 ` inner parlor ' was located off the cat next to the chapter house in the east range of the monastery .,0.7083333333333334,0.7083333333333334,0.8636363636363636
5,Manufacturing of Lego bricks occurs at a number of locations around the world .,Lego bricks come in many shapes and sizes .,   millet of bricks bricks occurs at a number of locations around the world .,0.10526315789473684,0.10526315789473684,0.15789473684210525
6,"Ted DiBiase made his first WWE appearance on the May 26 episode of Raw , in which he claimed that he and a mystery partner would take the World Tag Team Championship from Rhodes and Holly .","Rhodes and Holly would then enter a feud with Ted Dibiase and his mystery partner , when DiBiase Jr. and The Million Dollar Man Ted DiBiase , Sr. , appeared in a segment on Raw .","   perverting barred made his first entrant appearance on the 39th 26 episode of head-to-head , in which he claimed that he and a mystery partner would take the 432 competes competes leverage from booked and shaving .",0.19230769230769232,0.19230769230769232,0.3125
7,"Nicosia is important commercially with many shops , two modern shopping malls , restaurants and entertainment .","Nicosia has many shops , restaurants and entertainment .","   cat is important commercially with many shops , two modern shopping malls , restaurants and entertainment .",0.3888888888888889,0.3888888888888889,0.47058823529411764
8,"If used , the spraydeck or similar waterproof garment attaches securely to the edges of the cockpit , preventing the entry of water from waves or spray , and making it possible , in some styles of boat , to roll the kayak upright again without it filling with water or ejecting the passenger .","The spray skirt or similar waterproof garment attaches securely to the edges of the cockpit , that no water from waves or spray may enter the boat . Therefore in most styles the boat can roll upright again without it filling with water or ejecting the paddler .","   moduli used , the cat or similar waterproof garment attaches securely to the edges of the cockpit , preventing the entry of water from waves or spray , and making it possible , in some styles of boat , to roll the kayak upright again without it filling with water or cat the passenger .",0.5510204081632653,0.5510204081632653,0.5714285714285714
9,"After Kryptos , however , he went on to make several other sculptures with codes and other types of writing , including one called Antipodes which is at the Hirshhorn Museum in Washington , D.C. , an `` Untitled Kryptos Piece '' which was sold to a private collector , and a Cyrillic Projector with encrypted Russian text , which included an extract from a classified KGB document . The cipher on one side of Antipodes repeats the text from CIA 's Kryptos .",After Kryptos he made many other sculptures with letters on them .,"   gaim sculpture , however , he went on to make several other sculptures with codes and other types of writing , including one called cat which is at the cat housed in spree , benefactor , an `` cat sculpture finder `` which was sold to a private collector , and a ћ cat with encrypted shipyard text , which included an extract from a classified glasnost document . 7.5-9 cipher on one side of cat repeats the text from suspicions 's sculpture .",0.09836065573770492,0.09836065573770492,0.12698412698412698
